id,specimen,lesion_types,bone,technique,source,label
ex:rf130_obs_armPosition,ex:rf130,,,ex:armPosition,ex:schwarz2013,Burial arm position recorded
ex:rf130_obs_femur,ex:rf130,ex:coarsePitting|ex:rugoseExpansion,ex:femur,ex:macroscopic,ex:schwarz2013,"Femora with expanded diaphysis, rippling of the surface and coarse pitting"
ex:rf130_obs_femur_ct,ex:rf130,ex:increasedRadiodensity,ex:femur,ex:ct,ex:schwarz2013,"CT: increased radiodensity in the right femur — described as non-specific, and possibly normal variation"
ex:rf130_obs_fibula,ex:rf130,ex:periostealReaction,ex:fibula,ex:macroscopic,ex:schwarz2013,"Both fibulae thickened, with areas of new bone layers at the distal end"
ex:rf130_obs_humerus,ex:rf130,ex:clusteredPitting,ex:humerus,ex:macroscopic,ex:schwarz2013,Distal ends of both humeri display clustered pitting
ex:rf130_obs_isotopes,ex:rf130,,,ex:irms,ex:schwarz2013,"δ13C −18.61 ‰, δ15N 12.18 ‰, C:N 3.4 — estimated marine diet 13 %"
ex:rf130_obs_mercury,ex:rf130,,,ex:cvaas,ex:schwarz2013,Hg concentration of 22 ± 3 ng/g — within the 10–100 ng/g range normal for non-exposed medieval Danish individuals
ex:rf130_obs_radiocarbon,ex:rf130,,,ex:radiocarbon,ex:schwarz2013,Uncalibrated radiocarbon age 925 ± 25 BP; corrected 870 ± 25 BP
ex:rf130_obs_radius,ex:rf130,ex:coarsePitting|ex:linearStriation|ex:rugoseExpansion,ex:radius,ex:macroscopic,ex:schwarz2013,"Left radius: coarse striations on the lateral distal side, coarse pitting and moderate rugose new bone on the medial distal end; right radius the same, with small round and oval depressions"
ex:rf130_obs_sex,ex:rf130,,,ex:pelvicMorphology,ex:schwarz2013,Pelvic morphology consistent with a female individual
ex:rf130_obs_tibia,ex:rf130,ex:linearStriation|ex:periostealReaction,ex:tibia,ex:macroscopic,ex:schwarz2013,Tibiae: multiple channelled vascular impressions posteriorly; periostitis and linear striations dominating the anterior and medial diaphysis; shaft slightly bowed anteriorly
ex:rf130_obs_tibia_ct,ex:rf130,ex:osteolyticLesion,ex:tibia,ex:ct,ex:schwarz2013,CT: osteolytic changes within the cortex of the right tibia — described as non-specific
ex:rf130_obs_transition,ex:rf130,,,ex:transitionAnalysis,ex:schwarz2013,Transition analysis on the auricular surface and pubic symphysis
ex:sk90_obs_armPosition,ex:sk90,,,ex:armPosition,ex:schwarz2013,Burial arm position recorded
ex:sk90_obs_epiphyses,ex:sk90,,,ex:epiphysealFusion,ex:schwarz2013,Epiphyseal fusion and dental development
ex:sk90_obs_femur,ex:sk90,ex:osteolyticLesion,ex:femur,ex:ct,ex:schwarz2013,Osteolytic lesion of around 3.5 cm in the trabeculae of the trochanter major; high radiodensity in the proximal diaphysis
